Team 18,Team 20,Team 17,Team 3
Team 16,Team 7,Team 19,Team 14
Team 1,Team 4,Team 5,Team 11
Team 15,Team 2,Team 10,Team 12
Team 13,Team 6,Team 9,Team 8
Team 8,Team 20,Team 18,Team 3
Team 14,Team 16,Team 4,Team 5
Team 6,Team 12,Team 2,Team 7
Team 9,Team 19,Team 15,Team 13
Team 1,Team 17,Team 11,Team 10
Team 17,Team 16,Team 6,Team 18
Team 12,Team 3,Team 2,Team 14
Team 9,Team 19,Team 20,Team 15
Team 7,Team 10,Team 8,Team 4
Team 11,Team 5,Team 1,Team 13
Team 5,Team 8,Team 18,Team 10
Team 7,Team 17,Team 11,Team 13
Team 15,Team 14,Team 19,Team 12
Team 3,Team 6,Team 1,Team 2
Team 9,Team 4,Team 16,Team 20
